From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Aon,1 hour 6 mins,2025-07-03 09:15:56.105171,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 09:15:56.105171,driving,,40 mins
Harpur Lane,Aon,1 hour 29 mins,2025-07-03 09:30:58.098598,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 09:30:58.098598,driving,,39 mins
Harpur Lane,Aon,1 hour 29 mins,2025-07-03 09:46:00.266400,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 09:46:00.266400,driving,,38 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-03 10:01:02.146520,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 10:01:02.146520,driving,,39 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-03 10:16:03.922226,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 10:16:03.922226,driving,,38 mins
Harpur Lane,Aon,1 hour 28 mins,2025-07-03 10:31:05.838740,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 10:31:05.838740,driving,,38 mins
Harpur Lane,Aon,1 hour 26 mins,2025-07-03 10:46:07.994627,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 10:46:07.994627,driving,,38 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-03 11:01:09.938642,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-03 11:01:09.938642,driving,,39 mins
